City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,leningradskiy,69.3833,178.4167,-21.26,97,100,11.01,RU,1676057609
277,luderitz,-26.6481,15.1594,63.64,97,42,4.63,NA,1676057609
278,toguchin,55.2353,84.3858,-17.63,100,66,2.37,RU,1676057610
279,havre,49.5833,0.3333,43.34,93,76,3.44,FR,1676057611
280,minnedosa,50.2453,-99.8436,25.36,85,17,12.21,CA,1676057434
281,wanning,18.8003,110.3967,71.76,95,20,5.79,CN,1676057612
282,sawtell,-30.3833,153.1,62.62,94,0,0.0,AU,1676057612
283,falcoiu,44.2333,24.3667,22.32,76,0,5.48,RO,1676057613
284,coquimbo,-29.9533,-71.3436,74.93,60,0,11.5,CL,1676057614
285,ilulissat,69.2167,-51.1,-14.78,70,40,8.05,GL,1676057614
286,pleasanton,37.6624,-121.8747,59.61,77,0,8.01,US,1676057615
287,pacific grove,36.6177,-121.9166,60.24,79,20,11.01,US,1676057615
288,miramar,25.9873,-80.2323,84.99,63,0,16.11,US,1676057616
289,pemba,-12.974,40.5178,75.9,94,75,14.97,MZ,1676057617
290,hambantota,6.1241,81.1185,75.56,78,100,17.02,LK,1676057618
291,torbay,47.6666,-52.7314,22.39,78,75,10.36,CA,1676057618
292,thompson,55.7435,-97.8558,15.96,73,100,2.3,CA,1676057619
293,sergeyevka,53.88,67.4158,-6.97,100,75,5.03,KZ,1676057619
294,cruces,22.3411,-80.2667,85.32,34,9,11.14,CU,1676057620
295,zambezi,-13.5432,23.1047,67.06,95,100,4.63,ZM,1676057621
296,kodiak,57.79,-152.4072,35.11,100,100,0.0,US,1676057604
297,acolla,-11.7319,-75.5463,57.85,63,100,7.29,PE,1676057621
298,bandarbeyla,9.4942,50.8122,76.01,70,53,20.65,SO,1676057622
299,dapaong,10.8639,0.205,86.11,10,0,5.19,TG,1676057622
300,ribeira grande,38.5167,-28.7,59.77,77,20,5.99,PT,1676057623
301,erenhot,43.6475,111.9767,24.64,64,35,6.6,CN,1676057624
302,mahebourg,-20.4081,57.7,80.89,69,40,9.22,MU,1676057624
303,yarmouth,41.7057,-70.2286,64.87,64,0,9.22,US,1676057625
304,dikson,73.5069,80.5464,11.12,93,100,15.7,RU,1676057625
305,inirida,3.8653,-67.9239,79.52,86,100,3.38,CO,1676057626
306,khani,41.9563,42.9566,29.77,96,100,2.59,GE,1676057626
307,sao filipe,14.8961,-24.4956,70.16,75,95,8.5,CV,1676057626
308,ornskoldsvik,63.2909,18.7153,27.55,74,75,10.36,SE,1676057627
309,atlantic city,39.3643,-74.4229,60.19,45,0,19.57,US,1676057474
310,takayama,36.1333,137.25,34.02,96,100,6.76,JP,1676057628
311,hamilton,39.1834,-84.5333,47.64,72,100,11.5,US,1676057614
312,beringovskiy,63.05,179.3167,-25.15,95,51,11.27,RU,1676057628
313,balvi,57.1313,27.2658,27.81,86,56,11.21,LV,1676057629
314,kamyshevatskaya,46.4132,37.9563,27.3,59,2,3.02,RU,1676057631
315,makrana,27.05,74.7167,64.76,47,4,7.34,IN,1676057631
316,tomatlan,19.9333,-105.25,88.14,30,87,9.48,MX,1676057632
317,verkhoyansk,67.5447,133.385,-57.06,100,87,1.54,RU,1676057632
318,seoul,37.5683,126.9778,26.2,93,0,2.3,KR,1676057633
319,wabrzezno,53.2799,18.9477,34.25,86,100,13.18,PL,1676057633
320,husavik,66.0449,-17.3389,36.52,82,100,11.77,IS,1676057634
321,meoqui,28.2833,-105.4833,49.01,26,0,7.58,MX,1676057634
322,vao,-22.6667,167.4833,80.04,86,100,42.57,NC,1676057635
323,haines junction,60.7522,-137.5108,-0.45,78,100,2.3,CA,1676057635
324,chiesanuova,43.9045,12.4214,33.49,63,1,7.0,SM,1676057636
325,markovo,57.3206,107.0881,0.57,98,100,3.18,RU,1676057637
326,ayan,56.45,138.1667,-13.72,83,16,5.97,RU,1676057637
327,mobai,7.9944,-10.7511,78.21,72,8,4.56,SL,1676057637
328,cap malheureux,-19.9842,57.6142,80.47,74,2,5.01,MU,1676057638
329,atbasar,51.8,68.3333,6.44,96,93,7.47,KZ,1676057639
330,sao joao da barra,-21.6403,-41.0511,86.09,85,1,15.68,BR,1676057639
331,clacton-on-sea,51.7897,1.156,45.41,78,89,5.01,GB,1676057639
332,koungou,-12.7336,45.2042,82.11,78,100,6.91,YT,1676057640
333,saint-philippe,-21.3585,55.7679,78.39,78,37,12.17,RE,1676057640
334,hede,33.7681,120.2517,38.71,92,100,4.12,CN,1676057641
335,portland,45.5234,-122.6762,52.36,90,75,5.01,US,1676057545
336,araouane,18.9048,-3.5265,81.84,9,94,8.39,ML,1676057643
337,cockburn town,21.4612,-71.1419,76.51,78,0,24.32,TC,1676057643
338,kununurra,-15.7667,128.7333,73.38,94,75,16.11,AU,1676057644
339,paracuru,-3.41,-39.0306,83.1,73,37,11.99,BR,1676057644
340,aasiaat,68.7098,-52.8699,-13.27,93,100,6.71,GL,1676057645
341,poum,-20.2333,164.0167,81.81,79,100,28.5,NC,1676057645
342,casper,42.8666,-106.3131,28.99,50,0,27.63,US,1676057432
343,natal,-5.795,-35.2094,86.65,65,20,16.11,BR,1676057647
344,kiama,-34.6833,150.8667,64.45,91,43,5.99,AU,1676057647
345,labuan,5.2767,115.2417,77.36,100,20,2.3,MY,1676057606
346,adelaide,-34.9333,138.6,68.9,68,75,19.57,AU,1676057625
347,ixtapa,20.7,-105.2,76.23,53,20,8.05,MX,1676057648
348,makakilo city,21.3469,-158.0858,75.56,58,0,26.46,US,1676057649
349,aktash,50.3,87.7333,-4.92,97,100,2.42,RU,1676057650
350,neyshabur,36.2133,58.7958,29.1,71,100,1.32,IR,1676057651
351,baoqing,46.3317,132.2111,-4.31,100,96,2.19,CN,1676057651
352,ituporanga,-27.4144,-49.6025,73.24,94,100,2.33,BR,1676057652
353,san quintin,30.4833,-115.95,67.35,26,54,5.73,MX,1676057653
354,nuevo progreso,23.1667,-97.95,61.47,57,100,26.37,MX,1676057654
355,zaraza,9.3503,-65.3245,85.64,48,100,8.97,VE,1676057655
356,anopino,55.6981,40.6671,24.71,95,100,12.03,RU,1676057655
357,sterling,39.0062,-77.4286,60.19,42,75,19.57,US,1676057521
358,muisne,0.6,-80.0333,80.37,79,91,8.75,EC,1676057656
359,komsomolets,53.7453,62.0708,12.87,97,99,6.4,KZ,1676057657
360,shingu,33.7333,135.9833,43.61,85,4,5.57,JP,1676057658
361,puri,19.8,85.85,73.92,80,3,9.93,IN,1676057658
362,quesnel,52.9999,-122.5029,36.1,75,100,4.61,CA,1676057420
363,tigil,57.8,158.6667,-16.46,100,32,3.49,RU,1676057659
364,boddam,57.4667,-1.7833,52.43,78,100,15.68,GB,1676057660
365,maridi,4.9158,29.4742,78.94,30,59,4.34,SS,1676057661
366,bat yam,32.0231,34.7503,51.91,64,0,4.61,IL,1676057661
367,touros,-5.1989,-35.4608,82.85,65,94,13.96,BR,1676057662
368,kargil,34.5667,76.1,7.57,90,96,6.8,IN,1676057663
369,hami,42.8,93.45,30.56,50,99,6.42,CN,1676057664
370,saint george,37.1041,-113.5841,52.43,25,0,4.61,US,1676057517
371,torres,-29.3353,-49.7269,82.83,74,1,6.87,BR,1676057665
372,tromso,69.6496,18.957,27.37,86,75,8.05,NO,1676057665
373,raudeberg,61.9875,5.1352,45.27,1,100,31.05,NO,1676057666
374,margate,51.3813,1.3862,42.87,72,95,1.99,GB,1676057412
375,port-gentil,-0.7193,8.7815,84.16,84,40,8.05,GA,1676057667
376,dasoguz,41.8363,59.9666,15.75,62,0,9.22,TM,1676057668
377,kananga,-5.8958,22.4178,72.88,76,48,3.0,CD,1676057669
378,grindavik,63.8424,-22.4338,41.47,81,75,32.21,IS,1676057670
379,port lincoln,-34.7333,135.8667,64.09,78,80,17.11,AU,1676057671
380,praia,14.9215,-23.5087,72.14,64,75,16.11,CV,1676057671
381,itoman,26.1247,127.6694,64.42,88,75,3.44,JP,1676057672
382,aljezur,37.3191,-8.8033,53.78,65,100,21.52,PT,1676057673
383,grand valley,43.9001,-80.3164,32.14,89,92,19.44,CA,1676057673
384,petropavlovsk-kamchatskiy,53.0452,158.6483,0.19,71,40,6.71,RU,1676057674
385,venezuela,8.0,-66.0,91.9,33,75,17.18,VE,1676057675
386,rincon,32.296,-81.2354,66.9,91,100,3.44,US,1676057648
387,glace bay,46.1969,-59.957,32.99,85,100,14.97,CA,1676057675
388,san cristobal,7.7669,-72.225,75.38,54,95,6.44,VE,1676057676
389,kloulklubed,7.0419,134.2556,75.7,77,100,14.52,PW,1676057677
390,melivoia,39.75,22.8,30.07,67,1,3.67,GR,1676057678
391,sobolevo,54.4299,31.8996,26.94,88,71,14.29,RU,1676057678
392,richards bay,-28.783,32.0377,73.49,92,100,13.27,ZA,1676057679
393,talnakh,69.4865,88.3972,2.64,96,100,17.6,RU,1676057680
394,acapulco,16.8634,-99.8901,85.82,58,0,11.5,MX,1676057650
395,ashtabula,41.7001,-80.7665,37.96,92,100,11.5,US,1676057681
396,tambacounda,13.7539,-13.7586,95.05,15,0,4.61,SN,1676057681
397,mandalgovi,45.7625,106.2708,11.57,77,100,6.67,MN,1676057682
398,broome,42.2506,-75.833,42.69,74,100,17.27,US,1676057682
399,poddorye,57.4695,31.1156,28.53,77,92,14.67,RU,1676057683
400,sambava,-14.2667,50.1667,75.76,89,100,6.98,MG,1676057683
401,auki,-8.7676,160.7034,76.55,86,85,3.53,SB,1676057684
402,taksimo,56.3444,114.8794,-4.85,95,100,0.29,RU,1676057685
403,athens,37.9795,23.7162,46.18,63,40,8.05,GR,1676057424
404,sembakung,3.8167,117.25,72.41,99,100,2.01,ID,1676057594
405,varna,43.2167,27.9167,28.54,74,1,2.3,BG,1676057454
406,gornopravdinsk,60.05,69.9,11.48,94,99,8.68,RU,1676057687
407,cairns,-16.9167,145.7667,76.95,91,98,8.05,AU,1676057608
408,san policarpo,12.1791,125.5072,79.03,84,16,15.88,PH,1676057688
409,pangnirtung,66.1451,-65.7125,-32.8,68,20,2.3,CA,1676057688
410,sampit,-2.5333,112.95,74.66,97,100,0.29,ID,1676057689
411,vysokogornyy,50.1167,139.15,-12.98,96,71,0.76,RU,1676057689
412,kupang,-10.1667,123.5833,79.39,85,100,11.7,ID,1676057690
413,sorong,-0.8833,131.25,79.7,80,100,6.58,ID,1676057690
414,boyolangu,-8.1181,111.8935,74.62,93,100,5.86,ID,1676057691
415,akyab,20.15,92.9,67.17,73,0,9.46,MM,1676057691
416,havoysund,70.9963,24.6622,28.63,64,100,25.23,NO,1676057692
417,anloga,5.7947,0.8973,81.36,83,3,11.99,GH,1676057692
418,tateyama,34.9833,139.8667,43.11,68,58,21.56,JP,1676057693
419,narimanov,46.6927,47.8498,6.71,96,12,5.28,RU,1676057694
420,fairbanks,64.8378,-147.7164,-1.79,76,40,5.75,US,1676057570
421,yerbogachen,61.2767,108.0108,-24.79,100,94,4.23,RU,1676057694
422,panguna,-6.3164,155.4848,68.95,95,97,2.17,PG,1676057695
423,maniitsoq,65.4167,-52.9,-2.76,96,99,9.8,GL,1676057695
424,marquette,46.5333,-87.6335,21.83,73,100,11.01,US,1676057696
425,elliot lake,46.3834,-82.6331,22.21,86,100,9.89,CA,1676057696
426,moerai,-22.4333,-151.3333,80.67,72,30,11.65,PF,1676057696
427,sola,-13.8833,167.55,82.18,72,100,11.61,VU,1676057697
428,prainha,-1.8,-53.48,81.37,79,76,2.98,BR,1676057698
429,yining,29.0361,114.5636,46.63,96,100,1.97,CN,1676057698
430,severodvinsk,64.5635,39.8302,24.91,94,100,10.27,RU,1676057699
431,bafoulabe,13.8065,-10.8321,94.44,20,31,2.82,ML,1676057700
432,port arthur,38.8,121.2667,34.14,80,100,8.84,CN,1676057700
433,presidencia roque saenz pena,-26.7852,-60.4388,98.47,28,99,3.22,AR,1676057701
434,vaitape,-16.5167,-151.75,81.25,74,29,12.46,PF,1676057702
435,port hardy,50.6996,-127.4199,44.78,93,75,10.36,CA,1676057703
436,jablah,35.3614,35.9256,46.69,61,0,11.5,SY,1676057703
437,henties bay,-22.116,14.2845,66.18,88,11,7.72,NA,1676057704
438,mount pleasant,32.7941,-79.8626,76.08,82,0,8.05,US,1676057705
439,volchikha,52.0333,80.3833,3.81,96,100,5.64,RU,1676057706
440,jieznas,54.6,24.1667,31.59,91,60,11.45,LT,1676057707
441,omboue,-1.5746,9.2618,79.43,86,100,3.87,GA,1676057707
442,tuatapere,-46.1333,167.6833,54.9,73,60,4.23,NZ,1676057708
443,bubaque,11.2833,-15.8333,74.43,74,14,12.35,GW,1676057708
444,fort nelson,58.8053,-122.7002,17.94,80,100,4.0,CA,1676057709
445,lashio,22.9333,97.75,49.01,61,1,1.16,MM,1676057710
446,wald-michelbach,49.57,8.8317,34.39,74,78,4.32,DE,1676057711
447,lata,40.1629,-8.3327,46.09,57,98,7.0,PT,1676057711
448,alekseyevka,50.6309,38.6903,21.42,88,15,11.81,RU,1676057712
449,amapa,1.0,-52.0,79.21,94,63,3.36,BR,1676057568
450,callaway,30.153,-85.5699,66.13,90,100,11.5,US,1676057713
451,vila do maio,15.1333,-23.2167,72.39,78,91,15.93,CV,1676057714
452,ligayan,4.6533,119.4706,80.96,77,79,7.74,PH,1676057715
453,virginia beach,36.8529,-75.978,75.25,56,75,9.22,US,1676057646
454,vardo,70.3705,31.1107,15.78,67,0,11.5,NO,1676057716
455,santana do livramento,-30.8908,-55.5328,98.01,19,91,6.42,BR,1676057716
456,menongue,-14.6585,17.691,70.02,63,98,3.51,AO,1676057717
457,quang ngai,15.1167,108.8,69.6,94,5,4.72,VN,1676057718
458,bilma,18.6853,12.9164,71.49,19,10,13.42,NE,1676057718
459,gilgit,35.9221,74.3087,31.28,67,99,1.25,PK,1676057719
460,kandrian,-6.2167,149.55,78.66,86,100,10.33,PG,1676057719
461,samarai,-10.6167,150.6667,78.21,91,100,10.76,PG,1676057720
462,dagda,56.0951,27.5372,26.35,87,12,11.23,LV,1676057722
463,shubarshi,48.5872,57.1869,12.92,93,100,13.42,KZ,1676057723
464,chino valley,34.7575,-112.4538,54.84,19,0,5.75,US,1676057489
465,mocuba,-16.8392,36.9856,75.42,95,100,4.16,MZ,1676057725
466,kamiiso,41.8167,140.65,24.67,94,80,6.26,JP,1676057726
467,balkanabat,39.5108,54.3671,31.59,56,23,5.97,TM,1676057726
468,slave lake,55.2834,-114.769,30.18,69,100,2.3,CA,1676057727
469,kisangani,0.5167,25.2,78.12,40,43,1.81,CD,1676057728
470,clovis,36.8252,-119.7029,70.84,59,75,5.75,US,1676057728
471,te anau,-45.4167,167.7167,50.38,81,28,0.67,NZ,1676057729
472,annau,37.8876,58.516,29.7,74,100,2.3,TM,1676057730
473,port victoria,0.0939,33.9756,74.05,69,83,8.3,KE,1676057730
474,thinadhoo,0.5333,72.9333,81.63,67,46,13.09,MV,1676057731
475,manitouwadge,49.1215,-85.8403,17.26,85,100,5.91,CA,1676057731
476,awjilah,29.1081,21.2869,56.44,54,38,12.08,LY,1676057732
477,celestun,20.8667,-90.4,81.68,65,0,10.71,MX,1676057732
478,udachnyy,66.4167,112.4,-33.07,100,91,4.94,RU,1676057733
479,baykit,61.67,96.37,-17.66,100,100,1.68,RU,1676057734
480,padang,-0.9492,100.3543,75.42,85,94,5.32,ID,1676057734
481,scottsbluff,41.8666,-103.6672,43.92,37,0,10.36,US,1676057686
482,dehloran,32.6941,47.2679,48.4,45,7,1.59,IR,1676057735
483,mehendiganj,22.8167,90.5333,66.85,74,0,3.65,BD,1676057736
484,ambulu,-8.345,113.6058,75.2,91,100,3.65,ID,1676057737
485,lodwar,3.1191,35.5973,86.9,33,1,7.49,KE,1676057737
486,anahuac,27.2333,-100.15,61.25,27,7,23.87,MX,1676057738
487,moundou,8.5667,16.0833,83.95,10,0,2.42,TD,1676057738
488,riyadh,24.6877,46.7219,59.14,38,31,14.16,SA,1676057635
489,xining,36.6167,101.7667,30.18,23,97,2.82,CN,1676057739
490,krasnyy yar,46.5331,48.3456,6.73,97,16,4.52,RU,1676057740
491,dali,25.7,100.1833,40.06,64,0,5.3,CN,1676057740
492,ancud,-41.8697,-73.8203,61.23,80,99,12.44,CL,1676057741
493,adrar,20.5022,-10.0711,70.39,15,100,18.41,MR,1676057742
494,la libertad,-2.2333,-80.9,85.66,70,0,10.36,EC,1676057742
495,saltillo,25.4167,-101.0,61.16,46,40,5.75,MX,1676057490
496,boyabat,41.4689,34.7667,29.64,85,72,1.9,TR,1676057743
497,magdagachi,53.45,125.8,-13.41,100,91,1.79,RU,1676057744
498,bara,10.3744,10.7288,78.39,13,0,8.34,NG,1676057745
499,pemangkat,1.1667,108.9667,77.13,89,100,5.37,ID,1676057745
500,majene,-3.5403,118.9707,77.2,80,100,3.24,ID,1676057746
501,jaguarao,-32.5661,-53.3758,89.96,37,0,15.73,BR,1676057747
502,pedernales,18.0384,-71.744,86.94,44,0,18.48,DO,1676057748
503,denpasar,-8.65,115.2167,78.46,100,20,2.3,ID,1676057573
504,vanavara,60.34,102.2797,-22.83,100,40,3.89,RU,1676057748
505,karratha,-20.7377,116.8463,84.27,71,48,14.97,AU,1676057749
506,resistencia,-27.4606,-58.9839,99.09,38,40,4.61,AR,1676057749
507,urengoy,65.9667,78.3667,14.74,94,100,14.72,RU,1676057750
508,temple,31.0982,-97.3428,53.06,52,100,16.11,US,1676057750
509,tuban,-6.8976,112.0649,77.36,87,100,7.27,ID,1676057751
510,ciudad bolivar,8.1222,-63.5497,93.67,32,55,8.55,VE,1676057730
511,mount isa,-20.7333,139.5,78.57,50,71,4.61,AU,1676057752
512,sangar,63.9242,127.4739,-45.42,97,75,1.45,RU,1676057752
513,mut,36.6439,33.4389,30.09,70,4,7.63,TR,1676057753
514,rongcheng,30.634,117.8517,45.61,95,97,1.36,CN,1676057754
515,okakarara,-20.5833,17.4333,74.8,33,3,5.46,NA,1676057754
516,mulege,26.8833,-111.9833,69.06,32,100,14.25,MX,1676057755
517,kouroussa,10.65,-9.8833,89.98,34,85,3.38,GN,1676057755
518,sri aman,1.2376,111.4621,77.05,94,100,0.0,MY,1676057756
519,komsomolskiy,40.4272,71.7189,29.12,64,75,6.91,UZ,1676057756
520,porto novo,6.4965,2.6036,84.02,79,4,9.26,BJ,1676057757
521,labuhan,-6.8844,112.2051,77.83,87,100,8.93,ID,1676057757
522,ilheus,-14.7889,-39.0494,85.82,74,20,6.91,BR,1676057758
523,asau,46.4333,26.4,16.72,91,23,6.58,RO,1676057664
524,chandigarh,30.7343,76.7933,57.2,73,79,4.03,IN,1676057758
525,syracuse,37.0881,15.2792,51.17,67,100,27.96,IT,1676057759
526,kruisfontein,-34.0033,24.7314,67.89,85,0,7.63,ZA,1676057759
527,drayton valley,53.2168,-114.9854,39.9,60,100,16.49,CA,1676057760
528,zhaoyuan,37.3592,120.3964,34.45,87,100,5.59,CN,1676057760
529,picota,-6.9197,-76.3304,90.09,70,70,2.06,PE,1676057761
530,evensk,61.95,159.2333,-0.94,70,100,11.1,RU,1676057762
531,port keats,-14.25,129.55,77.14,85,100,0.58,AU,1676057763
532,banda aceh,5.5577,95.3222,77.41,81,100,5.01,ID,1676057763
533,villazon,-22.0866,-65.5942,65.84,34,91,14.34,BO,1676057764
534,xuddur,4.1213,43.8894,76.78,32,99,15.79,SO,1676057765
535,liwale,-9.7667,37.9333,69.13,97,100,3.83,TZ,1676057766
536,kavaratti,10.5669,72.642,79.65,78,100,8.81,IN,1676057766
537,nyurba,63.2842,118.3319,-29.27,99,100,2.75,RU,1676057767
538,hirara,24.8,125.2833,70.2,85,62,16.11,JP,1676057769
539,ierapetra,35.01,25.7353,50.14,60,100,11.99,GR,1676057770
540,jales,-20.2689,-50.5458,75.61,86,100,5.5,BR,1676057771
541,tolaga bay,-38.3667,178.3,62.87,69,100,6.15,NZ,1676057772
542,nimbahera,24.6167,74.6833,64.09,41,0,6.62,IN,1676057772
543,zhangjiakou,40.81,114.8794,19.22,91,66,1.63,CN,1676057773
544,high prairie,55.4334,-116.4858,35.98,83,100,13.22,CA,1676057773
545,coahuayana,18.7333,-103.6833,88.54,38,1,7.63,MX,1676057774
546,atambua,-9.1061,124.8925,73.58,91,100,1.63,ID,1676057775
547,mindelo,16.8901,-24.9804,71.15,56,75,21.85,CV,1676057775
548,shitanjing,39.2342,106.3439,27.91,86,88,8.1,CN,1676057776
549,namatanai,-3.6667,152.4333,78.22,86,100,6.91,PG,1676057777
550,yeppoon,-23.1333,150.7333,73.18,80,3,1.92,AU,1676057777
551,skibbereen,51.55,-9.2667,50.11,94,100,9.24,IE,1676057778
